,Title,Evaluation,楽しさ,人混みの多さ,景色,アクセス
0,観光地 1,4.7,4.6,4.5,4.9,4.2
1,観光地 2,4.7,4.6,4.5,4.9,4.2
2,観光地 3,4.6,4.5,4.4,4.8,4.1
3,観光地 4,4.5,4.4,4.4,4.8,4.0
4,観光地 5,4.5,4.4,4.3,4.7,4.0
5,観光地 6,4.4,4.3,4.3,4.7,3.9
6,観光地 7,4.3,4.2,4.2,4.6,3.8
7,観光地 8,4.3,4.2,4.2,4.6,3.8
8,観光地 9,4.2,4.1,4.1,4.5,3.7
9,観光地 10,4.1,4.0,4.1,4.4,3.6
10,観光地 11,4.1,4.0,4.0,4.4,3.6
11,観光地 12,4.0,3.9,4.0,4.3,3.5
12,観光地 13,3.9,3.8,3.9,4.3,3.4
13,観光地 14,3.9,3.8,3.9,4.2,3.4
14,観光地 15,3.8,3.7,3.8,4.2,3.3
15,観光地 16,3.7,3.6,3.8,4.1,3.2
16,観光地 17,3.7,3.6,3.7,4.1,3.2
17,観光地 18,3.6,3.5,3.7,4.0,3.1
18,観光地 19,3.5,3.4,3.6,3.9,3.0
19,観光地 20,3.5,3.4,3.6,3.9,3.0
20,観光地 21,3.4,3.3,3.5,3.8,2.9
21,観光地 22,3.3,3.2,3.5,3.8,2.8
22,観光地 23,3.3,3.2,3.4,3.7,2.8
23,観光地 24,3.2,3.1,3.4,3.7,2.7
24,観光地 25,3.1,3.0,3.3,3.6,2.6
25,観光地 26,3.1,3.0,3.3,3.6,2.6
26,観光地 27,3.0,2.9,3.2,3.5,2.5
27,観光地 28,2.9,2.8,3.2,3.4,2.4
28,観光地 29,2.9,2.8,3.1,3.4,2.4
29,観光地 30,2.8,2.7,3.1,3.3,2.3
